Parameter,Results,Units,LOQ,Dilution,CAS.No,Matrix,Lab,Street,Client_ID,Collection_date,Analysis_date,Project_ID
Methylene chloride,0.67,ug/m3,0.53,1,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
o-Xylene,7.2,ug/m3,0.66,1,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
Propylene,< 0.26,ug/m3,0.26,1,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
Styrene,1.2,ug/m3,0.65,1,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
Tetrachloroethylene,720,ug/m3,41,40,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
Tetrahydrofuran,< 0.45,ug/m3,0.45,1,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
Toluene,52,ug/m3,5.7,10,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
"trans-1,2-Dichloroethene",< 0.60,ug/m3,0.6,1,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
"trans-1,3-Dichloropropene",< 0.69,ug/m3,0.69,1,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
Trichloroethene,42,ug/m3,8.2,10,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
Vinyl acetate,< 0.54,ug/m3,0.54,1,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
Vinyl Bromide,< 0.67,ug/m3,0.67,1,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
Vinyl chloride,< 0.39,ug/m3,0.39,1,"NA",Air,Centek,242-246 Wallabout Street,SG4,08/19/2011,09/06/2011,12CBCP030K
