Parameter,Results,Units,LOQ,Matrix,CAS.No,Dilution,Lab,Street,Client_ID,Collection_date,Analysis_date,Project_ID
Acetone,1600,ug/m3,14,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Benzene,3,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Benzyl Chloride,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Bromodichloromethane,ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Bromoform,ND,ug/m3,6,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Bromomethane,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,3-Butadiene",ND,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
2-Butanone,55,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Carbon Disulfide,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Carbon Tetrachloride,ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Chlorobenzene,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Chlorodibromomethane,ND,ug/m3,5,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Chloroethane,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Chloroform,8,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Chloromethane,2,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
3-Chloro-1-propene,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
o-Chlorotoluene,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Cyclohexane,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,2-Dibromoethane",ND,ug/m3,5,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,2-Dichlorobenzene",ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,3-Dichlorobenzene",ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,4-Dichlorobenzene",ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Dichlorodifluoromethane,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,1-Dichloroethane",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,2-Dichloroethane",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,1-Dichloroethene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"cis-1,2-Dichloroethene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"trans-1,2-Dichloroethene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,2-Dichloropropane",ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"cis-1,3-Dichloropropene",ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"trans-1,3-Dichloropropene",ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,4-Dioxane",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Ethyl Acetate,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Ethylbenzene,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
4-Ethyltoluene,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Freon 113,ND,ug/m3,5,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Freon-114,ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Heptane,3,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Hexachlorobutadiene,ND,ug/m3,6,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Hexane,7,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
2-Hexanone,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Isopropyl Alcohol,31,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Methyl t-Butyl Ether,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"4-Methyl-2-
Pentanone(MIBK)",26,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Methylene Chloride,12,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
iso-Octane,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Propylene,52,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Styrene,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,1,2,2-Tetrachloroethane",ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Tetrachloroethene,ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Tetrahydrofuran,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Toluene,19,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,2,4-Trichlorobenzene",ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,1,1-Trichloroethane",50,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,1,2-Trichloroethane",ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Trichloroethene,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Trichlorofluoromethane,39,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,2,4-Trimethylbenzene",5,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,3,5-Trimethylbenzene",ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Vinyl Acetate,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Vinyl Bromide,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Vinyl Chloride,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
o-Xylene,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
mp-Xylene,ND,ug/m3,5,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Acetone,920,ug/m3,5,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Benzene,2,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Benzyl Chloride,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Bromodichloromethane,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Bromoform,ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Bromomethane,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,3-Butadiene",ND,ug/m3,0.9,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
2-Butanone,43,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Carbon Disulfide,ND,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Carbon Tetrachloride,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Chlorobenzene,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Chlorodibromomethane,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Chloroethane,ND,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Chloroform,9,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Chloromethane,2,ug/m3,0.8,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
3-Chloro-1-propene,ND,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
o-Chlorotoluene,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Cyclohexane,ND,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,2-Dibromoethane",ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,2-Dichlorobenzene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,3-Dichlorobenzene",4,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,4-Dichlorobenzene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Dichlorodifluoromethane,2,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,1-Dichloroethane",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,2-Dichloroethane",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,1-Dichloroethene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"cis-1,2-Dichloroethene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"trans-1,2-Dichloroethene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,2-Dichloropropane",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"cis-1,3-Dichloropropene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"trans-1,3-Dichloropropene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,4-Dioxane",ND,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Ethyl Acetate,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Ethylbenzene,2,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
4-Ethyltoluene,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Freon 113,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Freon-114,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Heptane,3,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Hexachlorobutadiene,ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Hexane,24,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
2-Hexanone,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Isopropyl Alcohol,38,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Methyl t-Butyl Ether,5,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"4-Methyl-2-
Pentanone(MIBK)",23,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Methylene Chloride,110,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
iso-Octane,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Propylene,32,ug/m3,0.7,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Styrene,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,1,2,2-Tetrachloroethane",ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Tetrachloroethene,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Tetrahydrofuran,ND,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Toluene,20,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,2,4-Trichlorobenzene",ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,1,1-Trichloroethane",120,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,1,2-Trichloroethane",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Trichloroethene,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Trichlorofluoromethane,50,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,2,4-Trimethylbenzene",6,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,3,5-Trimethylbenzene",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Vinyl Acetate,ND,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Vinyl Bromide,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
Vinyl Chloride,ND,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
o-Xylene,2,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
mp-Xylene,7,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG2,07/26/2011,08/03/2011,12CBCP029K
"1,1,1-Trichloroethane",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,1,2,2-Tetrachloroethane",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,1,2-Trichloroethane",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,1-Dichloroethane",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,1-Dichloroethene",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,2,4-Trichlorobenzene",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,2,4-Trimethylbenzene",1.9,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,2-Dibromoethane",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,2-Dichlorobenzene",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,2-Dichloroethane",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,2-Dichloropropane",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,3,5-Trimethylbenzene",0.72,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,3-butadiene",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,3-Dichlorobenzene",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,4-Dichlorobenzene",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"1,4-Dioxane",< 0.30,ppbV,0.3,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"2,2,4-trimethylpentane",340,ppbV,40,Air,"NA",270,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
4-ethyltoluene,0.49,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Acetone,86,ppbV,12,Air,"NA",40,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Allyl chloride,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Benzene,1.1000000000000001,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Benzyl chloride,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Bromodichloromethane,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Bromoform,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Bromomethane,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Carbon disulfide,10,ppbV,1.5,Air,"NA",10,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Carbon tetrachloride,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Chlorobenzene,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Chloroethane,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Chloroform,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Chloromethane,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"cis-1,2-Dichloroethene",0.17,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"cis-1,3-Dichloropropene",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Cyclohexane,21,ppbV,6,Air,"NA",40,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Dibromochloromethane,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Ethyl acetate,< 0.25,ppbV,0.25,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Ethylbenzene,1.3,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Freon 11,0.18,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Freon 113,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Freon 114,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Freon 12,0.41,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Heptane,9.1999999999999993,ppbV,1.5,Air,"NA",10,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"Hexachloro-1,3-butadiene",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Hexane,15,ppbV,6,Air,"NA",40,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Isopropyl alcohol,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
m&p-Xylene,4,ppbV,0.3,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Methyl Butyl Ketone,< 0.30,ppbV,0.3,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Methyl Ethyl Ketone,< 0.30,ppbV,0.3,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Methyl Isobutyl Ketone,< 0.30,ppbV,0.3,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Methyl tert-butyl ether,4.0999999999999996,ppbV,1.5,Air,"NA",10,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Methylene chloride,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
o-Xylene,1.4,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Propylene,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Styrene,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Tetrachloroethylene,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Tetrahydrofuran,< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
Toluene,4.2,ppbV,1.5,Air,"NA",10,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"trans-1,2-Dichloroethene",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
"trans-1,3-Dichloropropene",< 0.15,ppbV,0.15,Air,"NA",1,Centek,566 Columbia Street,SG-6,10/03/2013,10/11/2013,14CVCP193K
