project_id,name,borough,address,block_lot,project_class
"17TMP0373K, 17CVCP062K",402 SNEDIKER AVENUE,Brooklyn,402 SNEDIKER AVENUE,"Block: 3799, Lot:26",Completed (C)
"17TMP0322K, 17EH-A127K, 17CVCP060K",633 MARCY AVENUE,Brooklyn,633 MARCY AVENUE,"Block: 1771, Lot:5 ...",Completed (C)
"17TMP0095K, 17EHAN162K, 17CVCP049K",922 MYRTLE AVENUE,Brooklyn,922 MYRTLE AVENUE,"Block: 1756, Lot:24 ...",Completed (C)
"17TMP0084K, 17EH-N064K, 21CVCP031K",335 Ralph Avenue,Brooklyn,335 RALPH AVENUE,"Block: 1556, Lot:3",Active (A)
"16TMP0433K, 16EH-N340K, 16CVCP085K",710 Grand Street,Brooklyn,710 Grand Street,"Block: 2788, Lot:19",Completed (C)
"16TMP0145M, 16EH-N142K, 16CVCP043K",1516 Fulton Street,Brooklyn,1516 Fulton Street,"Block: 1864, Lot:12",Completed (C)
"16TMP0052K, 16EH-N045K, 16CVCP066K",925 Atlantic Avenue,Brooklyn,925 Atlantic Avenue,"Block: 2018, Lot:57",Active (A)
"16TMP0004Q, 16EH-N001K, 16CVCP015K, 19TMP0216K (MERGED)",1989 Coney Island Avenue,Brooklyn,1989 Coney Island Avenue,"Block: 6774, Lot:57 ...",Completed (C)
"16TMP0425K, 16EHAZ390K, 17CVCP055K, 22TMP1082K (MERGED)",578 5th Avenue,Brooklyn,578 5th Avenue,"Block: 1052, Lot:46 ...",Completed (C)
"16TMP0003Q, 16EHAZ303K, 17CVCP031K",540 Fulton Street,Brooklyn,540 Fulton Street,"Block: 161, Lot:18",Completed (C)
"16TMP0366K, 16EHAZ282K, 16CVCP072K",141 Metropolitan Avenue,Brooklyn,141 Metropolitan Avenue,"Block: 2358, Lot:24",Completed (C)
"16TMP0344K, 16EHAZ272K, 16CVCP076K",814-822 Bedford Ave,Brooklyn,814 Bedford Avenue,"Block: 1900, Lot:31 ...",Completed (C)
"16TMP0224K, 16EHAZ222K, 17CVCP018K",74-76 Ainslie Street,Brooklyn,74 Ainslie Street,"Block: 2375, Lot:10",Completed (C)
"16TMP0222K, 16EHAZ220K, 16CVCP064K",383 Manhattan Avenue,Brooklyn,383 Manhattan Avenue,"Block: 2738, Lot:24",Completed (C)
"16TMP0220K, 16EHAZ204K, 17CVCP027K",241 - 245 4TH AVENUE,Brooklyn,245 4TH AVENUE,"Block: 958, Lot:4 ...",Completed (C)
"16TMP0163K, 16EHAZ157K, 16CVCP070K",1353 Flatbush Avenue,Brooklyn,1353 Flatbush Avenue,"Block: 5227, Lot:13 ...",Completed (C)
"16TMP0099K, 16EHAZ097K, 16CVCP052K, 19TMP1634K (MERGED), 20TMP1261K (MERGED), 21TMP0644K (MERGED)",805-825 Surf Avenue,Brooklyn,805 Surf Avenue,"Block: 7268, Lot:213 ...",Completed (C)
"16TMP0069K, 16EHAZ063K, 16CVCP048K",526 Union Avenue,Brooklyn,526 Union Avenue,"Block: 2741, Lot:3",Completed (C)
"16TMP0063K, 16EHAZ057K, 16CVCP020K, 22TMP1357K (MERGED)",144 - 146 West Street,Brooklyn,146 West Street,"Block: 2531, Lot:1 ...",Completed (C)
"16TMP0406K, 16EHAN349K, 18CVCP049K",1050-1066 Manhattan Avenue,Brooklyn,1050 Manhattan Avenue,"Block: 2505, Lot:3 ...",Completed (C)
"16TMP0131M, 16EHAN126K, 17CVCP054K",609-619 4th Avenue,Brooklyn,609 4th Avenue,"Block: 631, Lot:6 ...",Completed (C)
"16TMP0049M, 16EHAN044K, 16CVCP041K",415-419 Marcy Avenue,Brooklyn,419 Marcy Avenue,"Block: 2245, Lot:1 ...",Active (A)
"16TMP0108K, 16EH-A093K, 16CVCP030K, 20TMP1006K (MERGED)",470 Manhattan Avenue,Brooklyn,470 Manhattan Avenue,"Block: 2714, Lot:30 ...",Completed (C)
"16TMP0051K, 16EH-A042K, 18CVCP037K",82 John Street,Brooklyn,78 John Street,"Block: 20, Lot:21",Completed (C)
"16TMP0267Q, 16CVCP082K, 16CVCP082K",461-463 Tompkins Avenue,Brooklyn,461 Tompkins Avenue,"Block: 1852, Lot:8 ...",Active (A)
"16TMP0385K, 16CVCP079K, 16CVCP079K",179 Throop Avenue,Brooklyn,179 Throop Avenue,"Block: 1723, Lot:1 ...",Completed (C)
"16TMP0252K, 16CVCP016K, 16CVCP016K",96-98 Degraw Street,Brooklyn,98 Degraw Street,"Block: 329, Lot:23 ...",Completed (C)
"15TMP0625K, 15EHAN039K, 20CVCP060K",205 Park Avenue,Brooklyn,195 Park Avenue,"Block: 2033, Lot:50",Active (A)
"15TMP0013K, 15RHAZ013K, 15CVCP147K",308 North 7th Street,Brooklyn,308 NORTH 7TH STREET,"Block: 2331, Lot:15 ...",Completed (C)
"15TMP0331K, 15RHAN331K, 15CVCP117K",86-90 Walton Street - DOB Job # 321064389,Brooklyn,90 Walton Street,"Block: 2250, Lot:10 ...",Completed (C)
"15TMP0236K, 15RHAN236K, 15CVCP100K",209-227 McGuinness Boulevard,Brooklyn,209 McGuinness Blvd,"Block: 2576, Lot:20 ...",Completed (C)
"15TMP0524K, 15EH-N524K, 17CVCP009K",911-917 Atlantic Avenue,Brooklyn,911 Atlantic Avenue,"Block: 2018, Lot:62 ...",Completed (C)
"15TMP0385K, 15EH-N385K, 15CVCP142K, 22TMP0689K (MERGED)",1520 Fulton Street,Brooklyn,1520 Fulton Street,"Block: 1864, Lot:14 ...",Completed (C)
"15TMP0349K, 15EH-N349K, 16CVCP006K",125 Third Avenue,Brooklyn,125 3rd Avenue,"Block: 395, Lot:3",Completed (C)
"15TMP0344K, 15EH-N344K, 15CVCP126K, 22TMP0264K (MERGED)",977 Manhattan Avenue,Brooklyn,977 Manhattan Avenue,"Block: 2532, Lot:45",Completed (C)
"15TMP0306K, 15EH-N306K, 15CVCP119K, 23TMP0146K (MERGED), 23TMP0282K (MERGED)",400 Union Avenue,Brooklyn,400 Union Avenue,"Block: 2773, Lot:8",Completed (C)
"15TMP0123K, 15EH-N123K, 16CVCP009K",402 Union Avenue,Brooklyn,402 Union Avenue,"Block: 2767, Lot:1",Active (A)
"15TMP0083K, 15EH-N083K, 17CVCP033K",Greenpoint Landing F1,Brooklyn,41 Blue Slip,"Block: 2472, Lot:45 ...",Completed (C)
"15TMP0082K, 15EH-N082K, 16CVCP065K, 20TMP0260K (MERGED), 20TMP1041K (MERGED), 20TMP1536K (MERGED)",Greenpoint Landing G1,Brooklyn,1 BLUE SLIP,"Block: 2472, Lot:80 ...",Completed (C)
"15TMP0080K, 15EH-N080K, 15CVCP019K",2501 Pitkin Avenue,Brooklyn,2501 Pitkin Avenue,"Block: 4005, Lot:28 ...",Completed (C)
"15TMP0053K, 15EH-N053K, 15CVCP090K",100 Steuben Street,Brooklyn,102 Steuben Street,"Block: 1893, Lot:47 ...",Completed (C)
"15TMP0011K, 15EH-N011K, 15CVCP165K, 20TMP0560K (MERGED)",1068-1072 Fulton Street - DOB Job No. NB-320597243,Brooklyn,1068 Fulton Street,"Block: 2016, Lot:12 ...",Completed (C)
"15TMP0004K, 15EH-N004K, 15CVCP055K",929 Atlantic Avenue,Brooklyn,929 Atlantic Avenue,"Block: 2018, Lot:54",Active (A)
"15TMP0541K, 15EHAZ541K, 15CVCP168K, 19TMP2032K (MERGED)",148 West Street,Brooklyn,148 West Street,"Block: 2531, Lot:3",Completed (C)
"15TMP0513K, 15EHAZ513K, 16CVCP081K",2702 West 15th Street,Brooklyn,2702 West 15th Street,"Block: 6996, Lot:53 ...",Completed (C)
"15TMP0501K, 15EHAZ501K, 16CVCP044K, 20TMP0205K (MERGED), 20TMP0318K (MERGED)",71 & 76 N 7th Street,Brooklyn,71 North 7th Street,"Block: 2317, Lot:18 ...",Completed (C)
"15TMP0471K, 15EHAZ471K, 16CVCP037K, 20TMP0565K (MERGED)",337 Berry Street,Brooklyn,337 Berry Street,"Block: 2443, Lot:37 ...",Completed (C)
"15TMP0454K, 15EHAZ454K, 15CVCP140K",20 Marcy Avenue,Brooklyn,20 Marcy Avenue,"Block: 2369, Lot:27 ...",Completed (C)
"15TMP0437K, 15EHAZ437K, 15CVCP166K",432-438 Keap St.,Brooklyn,432 Keap Street,"Block: 2375, Lot:1 ...",Completed (C)
"15TMP0434K, 15EHAZ434K, 15CVCP125K",1326 Ocean Avenue,Brooklyn,1326 Ocean Avenue,"Block: 6703, Lot:55",Completed (C)
"15TMP0414K, 15EHAZ414K, 15CVCP163K",80-82 Ainslie St.,Brooklyn,80 Ainslie Street,"Block: 2375, Lot:12",Completed (C)
"15TMP0376K, 15EHAZ376K, 15CVCP115K",5111 4th Avenue,Brooklyn,5111 4th Avenue,"Block: 799, Lot:6",Completed (C)
"15TMP0369K, 15EHAZ369K, 15CVCP134K",1127 Flatbush Avenue,Brooklyn,1127 Flatbush Avenue,"Block: 5165, Lot:53 ...",Completed (C)
"15TMP0333K, 15EHAZ333K, 15CVCP101K",202 North 10th Street,Brooklyn,202 North 10th Street,"Block: 2306, Lot:9 ...",Completed (C)
"15TMP0292K, 15EHAZ292K, 16CVCP058K",430-434 Van Brunt Street,Brooklyn,434 Van Brunt Street,"Block: 603, Lot:23 ...",Completed (C)
"15TMP0276K, 15EHAZ276K, 15CVCP081K",108 Frost Street,Brooklyn,108 Frost Street,"Block: 2738, Lot:15",Completed (C)
"15TMP0194K, 15EHAZ194K, 15CVCP061K",9029 Flatlands Avenue,Brooklyn,9029 Flatlands Avenue,"Block: 8179, Lot:1",Completed (C)
"15TMP0181K, 15EHAZ181K, 15CVCP094K",77 Clay Street - DOB Job No. NB - 320626998,Brooklyn,77 Clay Street,"Block: 2483, Lot:62",Completed (C)
"15TMP0148K, 15EHAZ148K, 15CVCP071K",53 Grand Street - DOB Job No. NB-320914631,Brooklyn,53 Grand Street,"Block: 2378, Lot:35",Completed (C)
"15TMP0098K, 15EHAZ098K, 15CVCP044K",26 West Street,Brooklyn,26 West Street,"Block: 2571, Lot:1",Completed (C)
"15TMP0069K, 15EHAZ069K, 15CVCP158K",88 Withers St.,Brooklyn,88 Withers Street,"Block: 2742, Lot:17",Completed (C)
"15TMP0064K, 15EHAZ064K, 15CVCP054K, 18TMP0969K (MERGED)",172-174 North 11th Street,Brooklyn,174 North 11th Street,"Block: 2298, Lot:13",Completed (C)
"15TMP0050K, 15EHAZ050K, 15CVCP028K",59-63 North 6th Street,Brooklyn,61 North 6th Street,"Block: 2325, Lot:28 ...",Completed (C)
"15TMP0579K, 15EHAN579K, 16CVCP047K, 20TMP0538K (MERGED)",901 Myrtle Ave,Brooklyn,901 Myrtle Avenue,"Block: 1747, Lot:34",Completed (C)
"15TMP0480K, 15EHAN480K, 15CVCP129K",47 Walton Street,Brooklyn,47 WALTON STREET,"Block: 2245, Lot:60 ...",Completed (C)
"15TMP0418K, 15EHAN418K, 18CVCP001K",1104-1106 Bedford Avenue,Brooklyn,1104 Bedford Avenue,"Block: 1971, Lot:28 ...",Completed (C)
"15TMP0382K, 15EHAN382K, 15CVCP113K",771-781 Metropolitan Ave,Brooklyn,781 Metropolitan Avenue,"Block: 2760, Lot:28 ...",Completed (C)
"15TMP0375K, 15EHAN375K, 15CVCP132K",948 Myrtle Avenue,Brooklyn,948 Myrtle Avenue,"Block: 1756, Lot:33 ...",Completed (C)
"15TMP0346K, 15EHAN346K, 15CVCP145K",260 Lee Avenue,Brooklyn,260 Lee Avenue,"Block: 2263, Lot:46",Active (A)
"15TMP0343K, 15EHAN343K, 15CVCP084K","902-908 Flushing Avenue/115 Stanwix Street (Rheingold, Block 3139)",Brooklyn,115 Stanwix Street,"Block: 3139, Lot:21",Completed (C)
"15TMP0305K, 15EHAN305K, 15CVCP088K",843 Lexington Avenue,Brooklyn,843 Lexington Avenue,"Block: 1623, Lot:73",Completed (C)
"15TMP0179K, 15EHAN179K, 15CVCP073K",89-141 Melrose Street (Rheingold Block 3152 South),Brooklyn,123 MELROSE STREET,"Block: 3152, Lot:2 ...",Completed (C)
"15TMP0178K, 15EHAN178K, 15CVCP072K",36-70 Noll Street (Rheingold Block 3152 North),Brooklyn,54 NOLL STREET,"Block: 3152, Lot:1 ...",Completed (C)
"15TMP0140K, 15EHAN140K, 15CVCP029K",802-806 Myrtle Avenue,Brooklyn,806 Myrtle Avenue,"Block: 1754, Lot:33 ...",Completed (C)
"15TMP0119K, 15EHAN119K, 15CVCP036K",667 Myrtle Avenue,Brooklyn,667 Myrtle Avenue,"Block: 1900, Lot:70 ...",Completed (C)
"15TMP0077K, 15EHAN077K, 15CVCP068K",313 Wallabout Street,Brooklyn,313 Wallabout Street,"Block: 2250, Lot:36 ...",Completed (C)
"15TMP0003K, 15EHAN003K, 17CVCP030K, 20TMP0907K (MERGED), 20TMP0972K (MERGED), 22TMP1145K (MERGED)",575-581 4th Avenue,Brooklyn,581 4th Avenue,"Block: 1052, Lot:1 ...",Completed (C)
"15TMP0294K, 15EH-A294K, 15CVCP152K",417 Manhattan Avenue,Brooklyn,417 Manhattan Avenue,"Block: 2723, Lot:29",Completed (C)
"15TMP0275K, 15EH-A275K, 16CVCP008K",299-301 Wallabout Street,Brooklyn,299 WALLABOUT STREET,"Block: 2250, Lot:41 ...",Completed (C)
"15TMP0183K, 15EH-A183K, 15CVCP031K",153 Lorimer Street,Brooklyn,153 Lorimer Street,"Block: 2242, Lot:53",Completed (C)
"15TMP0150K, 15EH-A150K, 15CVCP085K",196 Middleton Street,Brooklyn,196 Middleton Street,"Block: 2242, Lot:22",Completed (C)
"15TMP0592K, 15CVCP148K, 15CVCP148K",Henry Apartments - Site A - 1676 Broadway,Brooklyn,1676 Broadway,"Block: 1503, Lot:29 ...",Completed (C)
"15TMP0587K, 15CVCP120K, 15CVCP120K",Henry Apartments Site B - 8 Rockaway Avenue,Brooklyn,8 Rockaway Avenue,"Block: 1507, Lot:32 ...",Completed (C)
"15TMP0582K, 15CVCP118K, 15CVCP118K",81-111 Junius Street,Brooklyn,81 Junius Street,"Block: 3696, Lot:1 ...",Completed (C)
"14TMP0334K, 14RH-N334K, 15CVCP161K",1570 60th Street,Brooklyn,1570 60th Street,"Block: 5516, Lot:34 ...",Active (A)
"14TMP0204K, 14RH-N204K, 14CVCP242K",608-620 Franklin Avenue (Franklin Avenue Lofts - Dean Street Side),Brooklyn,608 Franklin Avenue,"Block: 1142, Lot:48 ...",Completed (C)
