project_id,name,borough,address,block_lot,project_class,zip_code,latitude,longitude
20CVCP041K,160 17th Street,Brooklyn,160 17TH STREET,Block: 630Lot:22,Active (A),11215-5308,40.665329,-73.99424
20CVCP009K,116 North 5th Street,Brooklyn,116 North 5th Street,Block: 2343Lot:5,Active (A),11249-3374,40.717178,-73.959846
18CVCP019K,108-112 North 6th Street,Brooklyn,112 NORTH 6TH STREET,Block: 2334Lot:22 ...,Active (A),11249-4196,40.718159,-73.960182
20CVCP023K,80 Flatbush Avenue,Brooklyn,80 FLATBUSH AVENUE,Block: 174Lot:13 ...,Active (A),11201,40.69374,-73.99057
19CVCP103K,55 SUMMIT STREET,Brooklyn,55 SUMMIT STREET,Block: 352Lot:49 ...,Active (A),11231-1308,40.682705,-74.004539
18CVCP020K,1860 EASTERN PARKWAY,Brooklyn,1860 EASTERN PARKWAY,Block: 1436Lot:6,Completed (C),11233-6909,40.67587,-73.90777
15CVCP018K,66 Ainslie Street,Brooklyn,66 Ainslie Street,Block: 2375Lot:5,Completed (C),11211-3404,40.712559,-73.952209
21CVCP015K,72-76 Congress Street,Brooklyn,72-76 CONGRESS STREET,Block: 299Lot:11,Active (A),11201-5922,40.689423,-74.000008
15CVCP087K,74 Vernon Avenue,Brooklyn,74 Vernon Avenue,Block: 1759Lot:7,Completed (C),11206-6410,40.69436,-73.95068
23CVCP015K,676 Myrtle Avenue,Brooklyn,676 MYRTLE AVENUE,Block: 1914Lot:22,Active (A),11205-3915,40.694263,-73.95668
23CVCP038K,179 22nd Street,Brooklyn,691 4TH AVENUE,Block: 643Lot:1 ...,Active (A),11232-1303,40.66152,-73.99502
16CVCP061K,1019-1033 Fulton Street,Brooklyn,1033 Fulton Street,Block: 1991Lot:1 ...,Completed (C),11238-2409,40.682461,-73.961174
18CVCP047K,137 Frost Street,Brooklyn,137 FROST STREET,Block: 2734Lot:35 ...,Active (A),11211-1401,40.718178,-73.946091
20CVCP031K,54 Crown Street,Brooklyn,46 CROWN STREET,Block: 1190Lot:29 ...,Active (A),11225,40.666885,-73.959976
21CVCP036K,2440 Fulton Street,Brooklyn,2440 FULTON STREET,Block: 1554Lot:16,Active (A),11233-3401,40.677776,-73.903954
15CVCP052K,1038 Greene Avenue,Brooklyn,1038 Greene Avenue,Block: 1623Lot:25,Completed (C),11221-6218,40.69118,-73.9262
15CVCP074K,119-127 Livingston Street,Brooklyn,119 Livingston Street,Block: 154Lot:37 ...,Completed (C),11201-5105,40.69079,-73.98849
19CVCP099K,322 Graham Avenue,Brooklyn,322 GRAHAM AVENUE,Block: 2771Lot:7,Active (A),11211-3737,40.713638,-73.944008
20CVCP066K,1881 McDonald Avenue,Brooklyn,1881 MCDONALD AVENUE,Block: 6633Lot:45 ...,Active (A),11223-1826,40.607037,-73.972351
15CVCP001K,Domino Sugar Site E,Brooklyn,317 KENT AVENUE,Block: 2428Lot:1,Completed (C),11238,40.67992,-73.96343
19CVCP083K,161 West Street,Brooklyn,161 WEST STREET,Block: 2520Lot:1,Active (A),11222-1317,40.732735,-73.959869
16CVCP080K,853 Lexington Avenue,Brooklyn,853 Lexington Avenue,Block: 1623Lot:70,Completed (C),11221-8452,40.690712,-73.926529
20CVCP039K,540-554 WAVERLY AVENUE,Brooklyn,547 Clinton Avenue,Block: 2011Lot:1 ...,Completed (C),11238-7059,40.681778,-73.965691
14CVCP250K,269-271 4th Avenue,Brooklyn,271 4th Avenue,Block: 964Lot:6 ...,Completed (C),11215-1818,40.675396,-73.984131
16CVCP049K,912 Broadway,Brooklyn,374 Stockton Street,Block: 1584Lot:11,Completed (C),11206-5902,40.697338,-73.93676
16CVCP062K,1200 Broadway,Brooklyn,1200 Broadway,Block: 1613Lot:16 ...,Completed (C),11221-3018,40.692101,-73.927155
15CVCP123K,Ralph Avenue and Preston Court,Brooklyn,1423 Ralph Avenue,Block: 7918Lot:86 ...,Completed (C),11234,40.641182,-73.919569
16CVCP034K,296 Wythe Avenue,Brooklyn,296 Wythe Avenue,Block: 2378Lot:21 ...,Completed (C),11249-4118,40.716236,-73.964294
16CVCP078K,391 Meeker Avenue,Brooklyn,391 Meeker Avenue,Block: 2723Lot:33,Completed (C),11222-7818,40.718746,-73.947128
17CVCP002K,44 Box Street,Brooklyn,44 BOX STREET,Block: 2483Lot:11 ...,Completed (C),11222-7504,40.737183,-73.954803
18CVCP059K,13-15 GREENPOINT AVENUE,Brooklyn,13-15 GREENPOINT AVENUE,Block: 2556Lot:45 ...,Completed (C),11222-1514,40.730118,-73.960052
19CVCP043K,Greenpoint Landing H3,Brooklyn,45 COMMERCIAL STREET,Block: 2472Lot:475 ...,Completed (C),11222-7283,40.736118,-73.959747
22CVCP013K,352 Meeker Avenue,Brooklyn,352 MEEKER AVENUE,Block: 2738Lot:10 ...,Active (A),11211-1334,40.717552,-73.947662
22CVCP020K,527 Grand Avenue,Brooklyn,527 GRAND AVENUE,Block: 1133Lot:7 ...,Active (A),11238-3120,40.67929,-73.9617
22CVCP069K,794 Bedford Avenue,Brooklyn,794 BEDFORD AVENUE,Block: 1886Lot:71,Active (A),11205-1508,40.697433,-73.95694
14CVCP254K,945 Bergen Street (Franklin Avenue Lofts - Bergen Street Side),Brooklyn,945 Bergen Street,Block: 1142Lot:48 ...,Active (A),11238-1111,40.676979,-73.956017
22CVCP003K,5402 Fort Hamilton Parkway,Brooklyn,5402 - 5410 FORT HAMILTON PARKWAY,Block: 5673Lot:42 ...,Active (A),11219-4037,40.63599,-74.001717
15CVCP006K,Domino Sugar Site C,Brooklyn,320-328 KENT AVENUE,Block: 2414Lot:26 ...,Active (A),11238,40.67992,-73.96343
17CVCP068K,141 North 6th Street,Brooklyn,141 NORTH 6TH STREET,Block: 2327Lot:32 ...,Active (A),11249-3201,40.717716,-73.958572
20CVCP053K,3513 Atlantic Avenue,Brooklyn,3513 ATLANTIC AVENUE,Block: 4151Lot:54,Active (A),11208-1823,40.683189,-73.867561
21CVCP020K,144 Noll Street,Brooklyn,144 NOLL,Block: 3154Lot:23 ...,Active (A),11206-4713,40.702927,-73.930969
22CVCP041K,2905 West 17th Street,Brooklyn,2905 WEST 17TH STREET,Block: 7062Lot:1 ...,Active (A),11224-2613,40.57596,-73.98453
23CVCP006K,1514-1530 60th Street,Brooklyn,1514-1530 60TH STREET,Block: 5516Lot:14 ...,Active (A),11219-5022,40.625759,-73.993721
15CVCP089K,963 Atlantic Avenue,Brooklyn,963 Atlantic Avenue,Block: 2019Lot:80,Active (A),11238-2801,40.680618,-73.960541
17CVCP035K,75 DUPONT STREET,Brooklyn,93 DUPONT STREET,Block: 2487Lot:57 ...,Active (A),11222-1008,40.73587,-73.95617
