project_id,street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
18CVCP063K,67 Duffield Street,SG 5,4-Ethyltoluene,0.46899999999999997,0.20399999999999999,2.2999999999999998,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,4-Isopropyltoluene,ND,0.182,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,4-Methyl-2-pentanone(MIBK),0.79500000000000004,0.24399999999999999,3.25,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Acetone,157,4.21,373,10,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Acrylonitrile,ND,0.46100000000000002,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Benzene,3.43,0.313,11,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Benzyl chloride,ND,0.193,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Bromodichloromethane,ND,0.14899999999999999,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Bromoform,ND,9.7000000000000003E-2,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Bromomethane,ND,0.25800000000000001,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Carbon Disulfide,1.92,0.32100000000000001,5.97,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Carbon Tetrachloride,3.5000000000000003E-2,3.2000000000000001E-2,0.22,0.2,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Chlorobenzene,ND,0.217,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Chloroethane,ND,0.379,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Chloroform,ND,0.20499999999999999,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 5,Chloromethane,15.2,0.48499999999999999,31.4,1,2018-02-27T05:00:00Z,KCA,phoenix
