street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
SV 1026-1030 Manhattan Ave,SV1,Ethanol,82.8,E  0.531,0.531,156,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Ethyl acetate,0.320,0.278,0.278,1.15,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Ethylbenzene,1.33,0.230,0.230,5.77,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Heptane,0.493,0.244,0.244,2.02,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Hexachlorobutadiene,ND,0.094,0.094,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Hexane,0.641,S  0.284,0.284,2.26,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Isopropylalcohol,1.77,0.407,0.407,4.35,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Isopropylbenzene,0.279,0.204,0.204,1.37,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"m,p-Xylene",4.91,0.230,0.230,21.3,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Methyl Ethyl Ketone,2.59,0.339,0.339,7.63,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Methyl tert-butyl ether(MTBE),ND,0.278,0.278,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Methylene Chloride,ND,0.864,0.864,ND,3.00,3.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,n-Butylbenzene,ND,0.182,0.182,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,o-Xylene,2.91,0.230,0.230,12.6,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Propylene,1.77,0.581,0.581,3.04,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,sec-Butylbenzene,ND,0.182,0.182,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Styrene,ND,0.235,0.235,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Tetrachloroethene,0.256,0.037,0.037,1.74,0.25,0.25,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Tetrahydrofuran,0.868,0.339,0.339,2.56,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Toluene,4.21,0.266,0.266,15.9,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"Trans-1,2-Dichloroethene",ND,0.252,0.252,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"trans-1,3-Dichloropropene",ND,0.221,0.221,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Trichloroethene,0.063,0.037,0.037,0.34,0.20,0.20,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Trichlorofluoromethane,0.238,0.178,0.178,1.34,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Trichlorotrifluoroethane,ND,0.131,0.131,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Vinyl Chloride,ND,0.078,0.078,ND,0.20,0.20,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,% Bromofluorobenzene,104,%,%,104,%,%,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV4,"1,1,1,2-Tetrachloroethane",ND,0.146,0.146,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV4,"1,1,1-Trichloroethane",ND,0.183,0.183,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
