street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,reference,lab
SV 975 Manhattan Ave,SS3,Hexane,5.47,S   0.284,19.3,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Isopropylalcohol,20.100000000000001,S   0.407,49.4,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Isopropylbenzene,0.51700000000000002,0.20399999999999999,2.54,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"m,p-Xylene",18.399999999999999,0.23,79.8,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Methyl Ethyl Ketone,1.08,0.33900000000000002,3.18,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Methylene Chloride,0.46200000000000002,S   0.288,1.6,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,n-Butylbenzene,0.46600000000000003,0.182,2.56,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,o-Xylene,7.56,0.23,32.799999999999997,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Propylene,1.44,0.58099999999999996,2.48,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,sec-Butylbenzene,ND,0.182,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Styrene,ND,0.23499999999999999,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Tetrachloroethene,5.7000000000000002E-2,3.6999999999999998E-2,0.39,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Tetrahydrofuran,ND,0.33900000000000002,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Toluene,24.1,0.26600000000000001,90.8,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"trans-1,3-Dichloropropene",ND,0.221,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Trichloroethene,ND,4.7E-2,ND,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Trichlorofluoromethane,0.214,0.17799999999999999,1.2,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Vinyl Chloride,ND,9.8000000000000004E-2,ND,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,% Bromofluorobenzene,99,%,99,%,NA,KCA,70 - 130 %,phoenix
SV 975 Manhattan Ave,SS2,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,1,1-Trichloroethane",ND,0.183,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,1,2-Trichloroethane",ND,0.183,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,1-Dichloroethane",ND,0.247,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,1-Dichloroethene",ND,0.252,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,2,4-Trimethylbenzene",5.72,0.20399999999999999,28.1,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,2-Dichloroethane",ND,0.247,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,2-dichloropropane",ND,0.217,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,3,5-Trimethylbenzene",1.68,0.20399999999999999,8.25,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
