street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
1048 MANHATTAN AVE.,SS1,Ethyl acetate,0.348,0.278,0.278,1.25,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Ethylbenzene,4.65,0.230,0.230,20.2,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Heptane,0.701,0.244,0.244,2.87,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Hexachlorobutadiene,ND,0.094,0.094,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Hexane,0.889,S  0.284,0.284,3.13,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Isopropylalcohol,0.992,0.407,0.407,2.44,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Isopropylbenzene,ND,0.204,0.204,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"m,p-Xylene",18.1,0.230,0.230,78.5,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Methyl Ethyl Ketone,3.88,0.339,0.339,11.4,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Methyl tert-butyl ether(MTBE),ND,0.278,0.278,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Methylene Chloride,ND,0.288,0.288,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,n-Butylbenzene,ND,0.182,0.182,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,o-Xylene,4.80,0.230,0.230,20.8,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Propylene,0.772,0.581,0.581,1.33,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,sec-Butylbenzene,ND,0.182,0.182,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Styrene,0.299,0.235,0.235,1.27,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Tetrachloroethene,0.175,0.037,0.037,1.19,0.25,0.25,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Tetrahydrofuran,3.47,0.339,0.339,10.2,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Toluene,3.82,0.266,0.266,14.4,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"Trans-1,2-Dichloroethene",ND,0.252,0.252,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"trans-1,3-Dichloropropene",ND,0.221,0.221,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Trichloroethene,ND,0.047,0.047,ND,0.25,0.25,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Trichlorofluoromethane,0.516,0.178,0.178,2.90,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Trichlorotrifluoroethane,ND,0.131,0.131,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
