street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,reference,lab
SV 98 3rd Avenue,SV-2,Ethylbenzene,0.73,0.23,3.17,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Heptane,0.46,0.24399999999999999,1.88,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Hexachlorobutadiene,ND,9.4E-2,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Hexane,0.82,0.28399999999999997,2.89,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Isopropylalcohol,1.02,0.40699999999999997,2.5,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Isopropylbenzene,ND,0.20399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"m,p-Xylene",2.61,0.23,11.3,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Methyl Ethyl Ketone,0.75,0.33900000000000002,2.21,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Methylene Chloride,ND,0.28799999999999998,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,n-Butylbenzene,ND,0.182,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,o-Xylene,1.1100000000000001,0.23,4.82,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Propylene,19.8,0.58099999999999996,34,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,sec-Butylbenzene,ND,0.182,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Styrene,ND,0.23499999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Tetrachloroethene,12.5,3.6999999999999998E-2,84.7,0.25,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Tetrahydrofuran,ND,0.33900000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Toluene,3.18,0.26600000000000001,12,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"trans-1,3-Dichloropropene",ND,0.22,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Trichloroethene,0.08,4.7E-2,0.43,0.25,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Trichlorofluoromethane,0.25,0.17799999999999999,1.4,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Trichlorotrifluoroethane,ND,0.13,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,Vinyl Chloride,ND,9.8000000000000004E-2,ND,0.25,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,% Bromofluorobenzene,103,%,103,%,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,1,1-Trichloroethane",ND,0.183,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,1-Dichloroethane",ND,0.247,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,1-Dichloroethene",ND,0.252,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,2,4-Trimethylbenzene",0.54,0.20399999999999999,2.65,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,2-Dichloroethane",ND,0.247,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,2-dichloropropane",ND,0.216,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,3,5-Trimethylbenzene",ND,0.20399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,4-Ethyltoluene,ND,0.20399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,4-Isopropyltoluene,ND,0.182,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Acetone,13.9,0.42099999999999999,33,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Acrylonitrile,ND,0.46100000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Benzene,ND,0.313,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Benzyl chloride,ND,0.193,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Bromodichloromethane,ND,0.14899999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Bromoform,ND,9.7000000000000003E-2,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Bromomethane,ND,0.25800000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Carbon Disulfide,4.97,0.32100000000000001,15.5,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Carbon Tetrachloride,0.04,0.04,0.251,0.25,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Chlorobenzene,ND,0.217,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Chloroethane,ND,0.379,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Chloroform,1.29,0.20499999999999999,6.29,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Chloromethane,ND,0.48399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"cis-1,3-Dichloropropene",ND,0.22,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Cyclohexane,ND,0.29099999999999998,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Dibromochloromethane,ND,0.11700000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Dichlorodifluoromethane,0.44,0.20200000000000001,2.17,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Ethanol,5.39,0.53100000000000003,10.1,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Ethyl acetate,2.11,0.27800000000000002,7.6,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Ethylbenzene,ND,0.23,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Heptane,0.99,0.24399999999999999,4.05,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Hexachlorobutadiene,ND,9.4E-2,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Hexane,3.21,0.28399999999999997,11.3,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Isopropylalcohol,4.08,0.40699999999999997,10,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Isopropylbenzene,ND,0.20399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"m,p-Xylene",0.57999999999999996,0.23,2.52,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Methyl Ethyl Ketone,3.36,0.33900000000000002,9.9,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Methylene Chloride,ND,0.28799999999999998,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,n-Butylbenzene,ND,0.182,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,o-Xylene,0.28000000000000003,0.23,1.22,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Propylene,19.3,0.58099999999999996,33.200000000000003,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,sec-Butylbenzene,ND,0.182,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Styrene,ND,0.23499999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Tetrachloroethene,16.399999999999999,3.6999999999999998E-2,111,0.25,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Tetrahydrofuran,ND,0.33900000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Toluene,0.7,0.26600000000000001,2.64,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,"trans-1,3-Dichloropropene",ND,0.22,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Trichloroethene,1.27,4.7E-2,6.82,0.25,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Trichlorofluoromethane,0.38,0.17799999999999999,2.13,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Trichlorotrifluoroethane,ND,0.13,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,Vinyl Chloride,ND,9.8000000000000004E-2,ND,0.25,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-1,% Bromofluorobenzene,104,%,104,%,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,1,1-Trichloroethane",ND,0.183,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,1,2-Trichloroethane",ND,0.183,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,1-Dichloroethane",ND,0.247,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,1-Dichloroethene",ND,0.252,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
