street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
1458-1460,SV 3,Methylene Chloride,ND,0.86399999999999999,ND,3,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,n-Butylbenzene,ND,0.182,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,o-Xylene,0.46800000000000003,0.23,2.0299999999999998,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Propylene,ND,0.58099999999999996,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,sec-Butylbenzene,ND,0.182,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Styrene,ND,0.23499999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Tetrachloroethene,0.25800000000000001,3.6999999999999998E-2,1.75,0.25,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Tetrahydrofuran,3.23,0.33900000000000002,9.5,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Toluene,1.27,0.26600000000000001,4.78,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"trans-1,3-Dichloropropene",ND,0.221,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Trichloroethene,ND,3.6999999999999998E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Trichlorofluoromethane,0.95499999999999996,0.17799999999999999,5.36,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Vinyl Chloride,ND,7.8E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,% Bromofluorobenzene,95,%,95,%,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,1,1-Trichloroethane",ND,0.183,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,1-Dichloroethane",ND,0.247,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,1-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,2,4-Trimethylbenzene",0.874,0.20399999999999999,4.29,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,2-Dichloroethane",ND,0.247,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,2-dichloropropane",ND,0.217,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,3,5-Trimethylbenzene",0.249,0.20399999999999999,1.22,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,4-Dichlorobenzene",2.81,0.16600000000000001,16.899999999999999,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,4-Ethyltoluene,0.69799999999999995,0.20399999999999999,3.43,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,4-Isopropyltoluene,ND,0.182,ND,1,2018-08-06T04:00:00Z,KCA,1
