street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
SV 633 Marcy Avenue,SV2,Chlorobenzene,ND,0.217,0.217,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Chloroethane,ND,0.379,0.379,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Chloroform,ND,0.20499999999999999,0.20499999999999999,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Chloromethane,ND,0.48499999999999999,0.48499999999999999,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,"Cis-1,2-Dichloroethene",ND,0.252,0.252,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,"cis-1,3-Dichloropropene",ND,0.221,0.221,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Cyclohexane,0.38100000000000001,0.29099999999999998,0.29099999999999998,1.31,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Dibromochloromethane,ND,0.11799999999999999,0.11799999999999999,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Dichlorodifluoromethane,0.78600000000000003,0.20200000000000001,0.20200000000000001,3.88,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Ethanol,14.9,0.53100000000000003,0.53100000000000003,28.1,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Ethyl acetate,ND,0.27800000000000002,0.27800000000000002,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Ethylbenzene,0.51500000000000001,0.23,0.23,2.23,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Heptane,0.79,0.24399999999999999,0.24399999999999999,3.24,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Hexachlorobutadiene,ND,9.4E-2,9.4E-2,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Hexane,0.57399999999999995,S  0.284,0.28399999999999997,2.02,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Isopropylalcohol,1.28,0.40699999999999997,0.40699999999999997,3.14,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Isopropylbenzene,ND,0.20399999999999999,0.20399999999999999,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,"m,p-Xylene",1.38,0.23,0.23,5.99,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Methyl Ethyl Ketone,5.52,0.33900000000000002,0.33900000000000002,16.3,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,0.27800000000000002,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Methylene Chloride,ND,0.28799999999999998,0.28799999999999998,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,n-Butylbenzene,ND,0.182,0.182,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,o-Xylene,0.502,0.23,0.23,2.1800000000000002,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Propylene,2.09,0.58099999999999996,0.58099999999999996,3.59,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,sec-Butylbenzene,ND,0.182,0.182,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Styrene,ND,0.23499999999999999,0.23499999999999999,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Tetrachloroethene,0.32900000000000001,3.6999999999999998E-2,3.6999999999999998E-2,2.23,0.25,0.25,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Tetrahydrofuran,1.77,0.33900000000000002,0.33900000000000002,5.22,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Toluene,3.06,0.26600000000000001,0.26600000000000001,11.5,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,"Trans-1,2-Dichloroethene",ND,0.252,0.252,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,"trans-1,3-Dichloropropene",ND,0.221,0.221,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Trichloroethene,ND,4.7E-2,4.7E-2,ND,0.25,0.25,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Trichlorofluoromethane,0.624,0.17799999999999999,0.17799999999999999,3.5,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Trichlorotrifluoroethane,ND,0.13100000000000001,0.13100000000000001,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,Vinyl Chloride,ND,9.8000000000000004E-2,9.8000000000000004E-2,ND,0.25,0.25,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV2,% Bromofluorobenzene,103,%,%,103,%,%,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,0.14599999999999999,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV1,"1,1,1-Trichloroethane",ND,0.183,0.183,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,0.14599999999999999,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV1,"1,1,2-Trichloroethane",ND,0.183,0.183,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV1,"1,1-Dichloroethane",ND,0.247,0.247,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV1,"1,1-Dichloroethene",ND,0.252,0.252,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,0.13500000000000001,ND,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV1,"1,2,4-Trimethylbenzene",0.64400000000000002,0.20399999999999999,0.20399999999999999,3.16,1,1,2016-12-24T05:00:00Z,KCA,1
SV 633 Marcy Avenue,SV1,"1,2-Dibromoethane(EDB)",ND,0.13,0.13,ND,1,1,2016-12-24T05:00:00Z,KCA,1
