street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
113 HAMILTON,SV-1,Methyl Ethyl Ketone,52.8,3.39,156,10,2018-01-23T05:00:00Z,KCA,10
113 HAMILTON,SV-1,Methyl tert-butyl ether(MTBE),11.6,0.27800000000000002,41.8,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,Methylene Chloride,ND,0.86399999999999999,ND,3,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,n-Butylbenzene,ND,0.182,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,o-Xylene,2.0699999999999998,0.23,8.98,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,Propylene,0.65800000000000003,0.58099999999999996,1.1299999999999999,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,sec-Butylbenzene,ND,0.182,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,Styrene,ND,0.23499999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,Tetrachloroethene,144,0.36899999999999999,976,2.5,2018-01-23T05:00:00Z,KCA,10
113 HAMILTON,SV-1,Tetrahydrofuran,0.36299999999999999,0.33900000000000002,1.07,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,Toluene,2.71,0.26600000000000001,10.199999999999999,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,"trans-1,3-Dichloropropene",ND,0.221,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,Trichloroethene,7.81,3.6999999999999998E-2,41.9,0.2,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,Trichlorofluoromethane,0.219,0.17799999999999999,1.23,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,Vinyl Chloride,ND,7.8E-2,ND,0.2,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-1,% Bromofluorobenzene,94,%,94,%,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,NA,"Collected by: Received by:
Analyzed by:",NA,NA,NA,NA,NA,NA
113 HAMILTON,SV-2,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,1,1-Trichloroethane",ND,0.183,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,1,2-Trichloroethane",ND,0.183,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,1-Dichloroethane",ND,0.247,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,1-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,2,4-Trimethylbenzene",1.92,0.20399999999999999,9.43,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,2-Dichloroethane",ND,0.247,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,2-dichloropropane",ND,0.217,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,3,5-Trimethylbenzene",0.55200000000000005,0.20399999999999999,2.71,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,4-Ethyltoluene,2.21,0.20399999999999999,10.9,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,4-Isopropyltoluene,ND,0.182,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Acetone,ND,0.42099999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Acrylonitrile,ND,0.46100000000000002,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Benzene,4.37,0.313,14,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Benzyl chloride,ND,0.193,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Bromodichloromethane,ND,0.14899999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Bromoform,ND,9.7000000000000003E-2,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Bromomethane,ND,0.25800000000000001,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Carbon Disulfide,ND,0.32100000000000001,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Carbon Tetrachloride,ND,3.2000000000000001E-2,ND,0.2,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Chlorobenzene,ND,0.217,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Chloroethane,ND,0.379,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Chloroform,ND,0.20499999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Chloromethane,2.04,0.48499999999999999,4.21,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"Cis-1,2-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Cyclohexane,22.1,0.29099999999999998,76,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Dibromochloromethane,ND,0.11799999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Dichlorodifluoromethane,0.45300000000000001,0.20200000000000001,2.2400000000000002,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Ethanol,3.55,0.53100000000000003,6.68,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Ethyl acetate,ND,0.27800000000000002,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Ethylbenzene,5.3,0.23,23,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Heptane,23.5,0.24399999999999999,96.2,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Hexachlorobutadiene,ND,9.4E-2,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Hexane,140,1.42,493,5,2018-01-23T05:00:00Z,KCA,5
113 HAMILTON,SV-2,Isopropylalcohol,ND,0.40699999999999997,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Isopropylbenzene,0.24199999999999999,0.20399999999999999,1.19,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"m,p-Xylene",14.6,0.23,63.4,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Methyl Ethyl Ketone,ND,0.33900000000000002,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Methylene Chloride,ND,0.86399999999999999,ND,3,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,n-Butylbenzene,ND,0.182,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,o-Xylene,4.22,0.23,18.3,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Propylene,ND,0.58099999999999996,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,sec-Butylbenzene,ND,0.182,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Styrene,ND,0.23499999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Tetrachloroethene,36.1,0.184,245,1.25,2018-01-23T05:00:00Z,KCA,5
113 HAMILTON,SV-2,Tetrahydrofuran,ND,0.33900000000000002,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Toluene,36.1,0.26600000000000001,136,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,"trans-1,3-Dichloropropene",ND,0.221,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Trichloroethene,0.46300000000000002,3.6999999999999998E-2,2.4900000000000002,0.2,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Trichlorofluoromethane,ND,0.17799999999999999,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,Vinyl Chloride,ND,7.8E-2,ND,0.2,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-2,% Bromofluorobenzene,98,%,98,%,2018-01-22T05:00:00Z,KCA,1
113 HAMILTON,SV-4,NA,"Collected by: Received by:
Analyzed by:",NA,NA,NA,NA,NA,NA
113 HAMILTON,SV-4,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,1,1-Trichloroethane",ND,0.183,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,1,2-Trichloroethane",ND,0.183,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,1-Dichloroethane",ND,0.247,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,1-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,2,4-Trimethylbenzene",3.89,0.20399999999999999,19.100000000000001,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,2-Dichloroethane",ND,0.247,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,2-dichloropropane",ND,0.217,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,3,5-Trimethylbenzene",1.1599999999999999,0.20399999999999999,5.7,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,"1,4-Dioxane",0.36399999999999999,0.27800000000000002,1.31,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,4-Ethyltoluene,4.2300000000000004,0.20399999999999999,20.8,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,4-Isopropyltoluene,ND,0.182,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,4-Methyl-2-pentanone(MIBK),3.09,0.24399999999999999,12.7,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Acetone,36.700000000000003,0.42099999999999999,87.1,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Acrylonitrile,ND,0.46100000000000002,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Benzene,0.92900000000000005,0.313,2.97,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Benzyl chloride,ND,0.193,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Bromodichloromethane,1.02,0.14899999999999999,6.83,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Bromoform,ND,9.7000000000000003E-2,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Bromomethane,ND,0.25800000000000001,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Carbon Disulfide,0.65800000000000003,0.32100000000000001,2.0499999999999998,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Carbon Tetrachloride,8.8999999999999996E-2,3.2000000000000001E-2,0.56000000000000005,0.2,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Chlorobenzene,ND,0.217,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Chloroethane,ND,0.379,ND,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Chloroform,13.8,0.20499999999999999,67.3,1,2018-01-23T05:00:00Z,KCA,1
113 HAMILTON,SV-4,Chloromethane,ND,0.48499999999999999,ND,1,2018-01-23T05:00:00Z,KCA,1
