street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
160154,SV-1,Propylene,0.91500000000000004,0.58099999999999996,1.57,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,sec-Butylbenzene,ND,0.182,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Styrene,ND,0.23499999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Tetrachloroethene,0.94499999999999995,3.6999999999999998E-2,6.41,0.25,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Tetrahydrofuran,ND,0.33900000000000002,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Toluene,37.1,0.26600000000000001,140,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"trans-1,3-Dichloropropene",ND,0.221,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Trichloroethene,ND,4.7E-2,ND,0.25,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Trichlorofluoromethane,0.33500000000000002,0.17799999999999999,1.88,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Vinyl Chloride,ND,9.8000000000000004E-2,ND,0.25,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,% Bromofluorobenzene,113,%,113,%,2016-06-22T04:00:00Z,KCA,1
160154,SV-2,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-2,"1,1,1-Trichloroethane",ND,0.183,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-2,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-2,"1,1,2-Trichloroethane",ND,0.183,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-2,"1,1-Dichloroethane",ND,0.247,ND,1,2016-06-22T04:00:00Z,KCA,1
